SYMBOL,NAME OF COMPANY,Status,Last_Price(5d)
AGNCO,AGNC Investment Corp. Depositary Shares each representing a 1/1000th interest in a share of 6.50% Series E Fixed-to-Floating Cumulative Redeemable Preferred Stock,Listed,25.34
AGNCP,AGNC Investment Corp. Depositary Shares Each Representing a 1/1000th Interest in a Share of 6.125% Series F Fixed-to-Floating Rate Cumulative Redeemable Preferred Stock,Listed,25
AGRI,AgriFORCE  Growing Systems Ltd. Common Shares,Listed,1.58
AGYS,Agilysys Inc. Common Stock (DE),Listed,124.8
AHCO,AdaptHealth Corp. Common Stock,Listed,10.4
AHG,Akso Health Group ADS,Listed,1.35
AIHS,Senmiao Technology Limited Common Stock,Listed,1.35
AILE,iLearningEngines Inc. Common Stock,Listed,0.42
AIMD,Ainos Inc. Common Stock,Listed,2.27
AIMDW,Ainos Inc. Warrants,Listed,0.1
AIP,Arteris Inc. Common Stock,Listed,16.29
AIRE,reAlpha Tech Corp. Common Stock,Listed,0.5
AIRG,Airgain Inc. Common Stock,Listed,4.05
AIRJ,Montana Technologies Corporation Class A Common Stock,Listed,3.37
AIRJW,Montana Technologies Corporation Warrant,Listed,0.78
AIRS,AirSculpt Technologies Inc. Common Stock,Listed,2.6
AIRT,Air T Inc. Common Stock,Listed,20.01
AIRTP,Air T Inc. Air T Funding Alpha Income Trust Preferred Securities,Listed,19.8
AISP,Airship AI Holdings Inc. Class A Common Stock,Listed,3.06
AISPW,Airship AI Holdings Inc. Warrants,Listed,1.02
AIXI,XIAO-I Corporation American Depositary Shares,Listed,0.59
AKAM,Akamai Technologies Inc. Common Stock,Listed,85.88
AKAN,Akanda Corp. Common Shares,Listed,0.94
AKBA,Akebia Therapeutics Inc. Common Stock,Listed,1.66
AKRO,Akero Therapeutics Inc. Common Stock,Listed,54.65
AKTX,Akari Therapeutics plc ADS,Listed,0.39
ALAB,Astera Labs Inc. Common Stock,Listed,148.85
ALAR,Alarum Technologies Ltd. American Depositary Share,Listed,7.61
ALBT,Avalon GloboCare Corp. Common Stock,Listed,1.34
ALCE,Alternus Clean Energy Inc. Class A Common Stock,Listed,0.03
ALCO,Alico Inc. Common Stock,Listed,37.69
ALCY,Alchemy Investments Acquisition Corp 1 Class A Ordinary Shares,Listed,11.75
ALCYW,Alchemy Investments Acquisition Corp 1 Warrants,Listed,0.12
ALDX,Aldeyra Therapeutics Inc. Common Stock,Listed,4.54
ALEC,Alector Inc. Common Stock,Listed,1.49
ALGM,Allegro MicroSystems Inc. Common Stock,Listed,27.11
ALGN,Align Technology Inc. Common Stock,Listed,165.43
ALGS,Aligos Therapeutics Inc. Common Stock,Listed,13.3
ALGT,Allegiant Travel Company Common Stock,Listed,85.86
ALHC,Alignment Healthcare Inc. Common Stock,Listed,19.36
ALKS,Alkermes plc Ordinary Shares,Listed,28.5
ALKT,Alkami Technology Inc. Common Stock,Listed,22.29
ALLO,Allogene Therapeutics Inc. Common Stock,Listed,1.51
ALLR,Allarity Therapeutics Inc. Common Stock,Listed,1.14
ALLT,Allot Ltd. Ordinary Shares,Listed,9.86
ALNT,Allient Inc. Common Stock,Listed,55.4
ALNY,Alnylam Pharmaceuticals Inc. Common Stock,Listed,397.55
ALOT,AstroNova Inc. Common Stock,Listed,8.13
ALPP,Alpine 4 Holdings Inc. Class A Common Stock,Listed,0
ALRM,Alarm.com Holdings Inc. Common Stock,Listed,52.16
ALRS,Alerus Financial Corporation Common Stock,Listed,23.48
ALT,Altimmune Inc. Common Stock,Listed,5.27
ALTI,AlTi Global Inc. Class A Common Stock,Listed,5.14
ALTO,Alto Ingredients Inc. Common Stock,Listed,2.5
ALVO,Alvotech Ordinary Shares,Listed,5.57
ALVOW,Alvotech Warrant,Listed,0.85
ALXO,ALX Oncology Holdings Inc. Common Stock,Listed,1.47
ALZN,Alzamend Neuro Inc. Common Stock,Listed,2.17
AMAL,Amalgamated Financial Corp. Common Stock (DE),Listed,31.99
AMAT,Applied Materials Inc. Common Stock,Listed,259.21
AMBA,Ambarella Inc. Ordinary Shares,Listed,75.28
AMCX,AMC Networks Inc. Class A Common Stock,Listed,10.01
AMD,Advanced Micro Devices Inc. Common Stock,Listed,210.78
AMGN,Amgen Inc. Common Stock,Listed,317.74
AMIX,Autonomix Medical Inc. Common Stock,Listed,0.73
AMKR,Amkor Technology Inc. Common Stock,Listed,44.31
AMLX,Amylyx Pharmaceuticals Inc. Common Stock,Listed,13.1
AMPG,Amplitech Group Inc. Common Stock,Listed,3.08
AMPGW,Amplitech Group Inc. Warrants,Listed,0.18
AMPH,Amphastar Pharmaceuticals Inc. Common Stock,Listed,25.27
AMPL,Amplitude Inc. Class A Common Stock,Listed,11.25
AMRK,A-Mark Precious Metals Inc. Common Stock,Listed,31.72
AMRN,Amarin Corporation plc,Listed,14.36
AMRX,Amneal Pharmaceuticals Inc. Class A Common Stock,Listed,12.21
AMSC,American Superconductor Corporation Common Stock,Listed,31.07
AMSF,AMERISAFE Inc. Common Stock,Listed,39.18
AMST,Amesite Inc. Common Stock,Listed,2.57
AMTX,Aemetis Inc. (DE) Common Stock,Listed,1.47
AMWD,American Woodmark Corporation Common Stock,Listed,57.21
AMZN,Amazon.com Inc. Common Stock,Listed,226.19
ANAB,AnaptysBio Inc. Common Stock,Listed,44.94
ANDE,Andersons Inc. (The) Common Stock,Listed,53.99
ANEB,Anebulo Pharmaceuticals Inc. Common Stock,Listed,2.29
ANGH,Anghami Inc. Ordinary Shares,Listed,2.52
ANGHW,Anghami Inc. Warrants,Listed,0.01
ANGI,Angi Inc. Class A Common Stock,Listed,13.28
ANGO,AngioDynamics Inc. Common Stock,Listed,13.14
ANIK,Anika Therapeutics Inc. Common Stock,Listed,9.56
ANIP,ANI Pharmaceuticals Inc.,Listed,80.39
ANIX,Anixa Biosciences Inc. Common Stock,Listed,3.58
ANL,Adlai Nortye Ltd. American Depositary Shares,Listed,1.38
ANNX,Annexon Inc. Common Stock,Listed,4.97
ANSC,Agriculture & Natural Solutions Acquisition Corporation Class A Ordinary Shares,Listed,11.17
ANSCU,Agriculture & Natural Solutions Acquisition Corporation Unit,Listed,10.87
ANSCW,Agriculture & Natural Solutions Acquisition Corporation Warrant,Listed,0.35
ANTX,AN2 Therapeutics Inc. Common Stock,Listed,1.2
ANY,Sphere 3D Corp. Common Shares,Listed,0.43
AOGO,Arogo Capital Acquisition Corp. Class A Common Stock,Listed,12
AONC,American Oncology Network Inc. Class A Common Stock,Listed,11.12
AOSL,Alpha and Omega Semiconductor Limited Common Shares,Listed,20.35
AOUT,American Outdoor Brands Inc. Common Stock ,Listed,7.89
APA,APA Corporation Common Stock,Listed,25.93
APCX,AppTech Payments Corp. Common Stock,Listed,0.4
APEI,American Public Education Inc. Common Stock,Listed,36.93
APGE,Apogee Therapeutics Inc. Common Stock,Listed,77.08
API,Agora Inc. American Depositary Shares,Listed,3.92
APLD,Applied Digital Corporation Common Stock,Listed,27.86
APLM,Apollomics Inc. Class A Ordinary Shares,Listed,16.05
APLMW,Apollomics Inc. Warrant,Listed,0.03
APLS,Apellis Pharmaceuticals Inc. Common Stock,Listed,25.23
APLT,Applied Therapeutics Inc. Common Stock,Listed,0.12
APM,Aptorum Group Limited Class A Ordinary Shares,Listed,1.3
APOG,Apogee Enterprises Inc. Common Stock,Listed,39.99
APP,Applovin Corporation Class A Common Stock,Listed,670.67
APPF,AppFolio Inc. Class A Common Stock,Listed,231.43
APPN,Appian Corporation Class A Common Stock,Listed,37.83
APPS,Digital Turbine Inc. Common Stock,Listed,4.79
APRE,Aprea Therapeutics Inc. Common stock,Listed,0.93
APVO,Aptevo Therapeutics Inc. Common Stock,Listed,1.13
APWC,Asia Pacific Wire & Cable Corporation Ltd. Ordinary Shares (Bermuda),Listed,1.77
APYX,Apyx Medical Corporation Common Stock,Listed,3.86
AQB,AquaBounty Technologies Inc. Common Stock,Listed,0.93
AQMS,Aqua Metals Inc. Common Stock,Listed,6.45
AQST,Aquestive Therapeutics Inc. Common Stock,Listed,6.21
ARAY,Accuray Incorporated Common Stock,Listed,1.06
ARBB,ARB IOT Group Limited Ordinary Shares,Listed,7.24
ARBE,Arbe Robotics Ltd. Ordinary Shares,Listed,1.23
ARBEW,Arbe Robotics Ltd. Warrant,Listed,0.15
ARBK,Argo Blockchain plc American Depositary Shares,Listed,6.87
ARBKL,Argo Blockchain plc 8.75% Senior Notes due 2026,Listed,5.3
ARCB,ArcBest Corporation Common Stock,Listed,76.57
ARCC,Ares Capital Corporation Common Stock,Listed,20.85
ARCT,Arcturus Therapeutics Holdings Inc. Common Stock,Listed,7.46
ARDX,Ardelyx Inc. Common Stock,Listed,6.21
AREB,American Rebel Holdings Inc. Common Stock,Listed,1.05
AREBW,American Rebel Holdings Inc. Warrants,Listed,0.03
AREC,American Resources Corporation Class A Common Stock,Listed,2.57
ARGX,argenx SE American Depositary Shares,Listed,877.94
ARHS,Arhaus Inc. Class A Common Stock,Listed,10.87
ARKO,ARKO Corp. Common Stock,Listed,5.08
ARKR,Ark Restaurants Corp. Common Stock,Listed,6.71
ARLP,Alliance Resource Partners L.P. Common Units representing Limited Partners Interests,Listed,24.13
ARM,Arm Holdings plc American Depositary Shares,Listed,130.89
AROW,Arrow Financial Corporation Common Stock,Listed,32.2
ARQ,Arq Inc. Common Stock,Listed,3.35
ARQQ,Arqit Quantum Inc. Ordinary Shares,Listed,28.35
ARQQW,Arqit Quantum Inc. Warrants,Listed,0.37
ARQT,Arcutis Biotherapeutics Inc. Common Stock,Listed,29.02
ARRY,Array Technologies Inc. Common Stock,Listed,8.52
ARTL,Artelo Biosciences Inc. Common Stock,Listed,1.95
ARTNA,Artesian Resources Corporation Class A Common Stock,Listed,31.97
ARTW,Art's-Way Manufacturing Co. Inc. Common Stock,Listed,2.46
ARVN,Arvinas Inc. Common Stock,Listed,12.58
ARWR,Arrowhead Pharmaceuticals Inc. Common Stock,Listed,70.09
ASLE,AerSale Corporation Common Stock,Listed,6.97
ASMB,Assembly Biosciences Inc. Common Stock,Listed,36.1
ASML,ASML Holding N.V. New York Registry Shares,Listed,1080.85
ASND,Ascendis Pharma A/S American Depositary Shares,Listed,220.42
ASNS,Actelis Networks Inc. Common Stock,Listed,2.46
ASO,Academy Sports and Outdoors Inc. Common Stock,Listed,55.5
ASPI,ASP Isotopes Inc. Common Stock,Listed,5.94
ASPS,Altisource Portfolio Solutions S.A. Common Stock,Listed,6.59
ASRT,Assertio Holdings Inc. Common Stock,Listed,0.76
ASRV,AmeriServ Financial Inc. Common Stock,Listed,3.08
ASST,Asset Entities Inc. Class B Common Stock,Listed,0.86
ASTC,Astrotech Corporation (DE) Common Stock,Listed,4.2
ASTE,Astec Industries Inc. Common Stock,Listed,46.55
ASTH,Astrana Health Inc. Common Stock,Listed,23.47
ASTI,Ascent Solar Technologies Inc. Common Stock,Listed,3.12
ASTL,Algoma Steel Group Inc. Common Shares,Listed,4.53
ASTLW,Algoma Steel Group Inc. Warrant,Listed,0.12
ASTS,AST SpaceMobile Inc. Class A Common Stock,Listed,76.7
ASUR,Asure Software Inc Common Stock,Listed,8.91
ASYS,Amtech Systems Inc. Common Stock,Listed,10.98
ATAI,ATAI Life Sciences N.V. Common Shares,Listed,4.29
ATAT,Atour Lifestyle Holdings Limited American Depositary Shares,Listed,42.76
ATEC,Alphatec Holdings Inc. Common Stock,Listed,19.96
ATER,Aterian Inc. Common Stock,Listed,0.77
ATEX,Anterix Inc. Common Stock,Listed,23
ATGL,Alpha Technology Group Limited Ordinary Shares,Listed,23.7
ATHA,Athira Pharma Inc. Common Stock,Listed,3.87
ATHE,Alterity Therapeutics Limited American Depositary Shares,Listed,3.29
ATLC,Atlanticus Holdings Corporation Common Stock,Listed,65.96
ATLCL,Atlanticus Holdings Corporation 6.125% Senior Notes due 2026,Listed,24.8
ATLCP,Atlanticus Holdings Corporation 7.625% Series B Cumulative Perpetual Preferred Stock no par value per share,Listed,23.86
ATLCZ,Atlanticus Holdings Corporation 9.25% Senior Notes due 2029,Listed,25.29
ATLO,Ames National Corporation Common Stock,Listed,23.88
ATLX,Atlas Lithium Corporation Common Stock,Listed,4.25
ATMC,AlphaTime Acquisition Corp Ordinary Shares,Listed,15.6
ATMV,AlphaVest Acquisition Corp Ordinary Shares,Listed,10.3
ATMVU,AlphaVest Acquisition Corp Unit,Listed,11.54
ATNI,ATN International Inc. Common Stock,Listed,21.85
ATOM,Atomera Incorporated Common Stock,Listed,2.37
ATOS,Atossa Therapeutics Inc. Common Stock,Listed,0.82
ATPC,Agape ATP Corporation Common Stock,Listed,0.13
ATRA,Atara Biotherapeutics Inc. Common Stock,Listed,18
ATRC,AtriCure Inc. Common Stock,Listed,42.38
ATRO,Astronics Corporation Common Stock,Listed,54.4
ATXG,Addentax Group Corp. Common Stock,Listed,0.51
ATXI,Avenue Therapeutics Inc. Common Stock,Listed,0.65
ATXS,Astria Therapeutics Inc. Common Stock,Listed,12.93
AUBN,Auburn National Bancorporation Inc. Common Stock,Listed,24.88
AUDC,AudioCodes Ltd. Common Stock,Listed,9.08
AUID,authID Inc. Common Stock,Listed,1.11
AUPH,Aurinia Pharmaceuticals Inc Ordinary Shares,Listed,15.85
AUR,Aurora Innovation Inc. Class A Common Stock,Listed,4.39
AURA,Aura Biosciences Inc. Common Stock,Listed,6.54
AUROW,Aurora Innovation Inc. Warrant,Listed,0.32
AUTL,Autolus Therapeutics plc American Depositary Share,Listed,1.61
AUUD,Auddia Inc. Common Stock,Listed,1.1
AVAH,Aveanna Healthcare Holdings Inc. Common Stock,Listed,9.02
AVAV,AeroVironment Inc. Common Stock,Listed,239
AVBP,ArriVent BioPharma Inc. Common Stock,Listed,24.42
AVDL,Avadel Pharmaceuticals plc Ordinary Share,Listed,21.36
AVGO,Broadcom Inc. Common Stock,Listed,359.93
AVIR,Atea Pharmaceuticals Inc. Common Stock,Listed,3.15
AVNW,Aviat Networks Inc. Common Stock,Listed,21.27
AVO,Mission Produce Inc. Common Stock,Listed,12.64
AVPT,AvePoint Inc. Class A Common Stock,Listed,13.89
AVT,Avnet Inc. Common Stock,Listed,49.92
AVTX,Avalo Therapeutics Inc. Common Stock,Listed,18.6
AVXL,Anavex Life Sciences Corp. Common Stock,Listed,4.02
AWIN,AERWINS Technologies Inc. Common Stock,Listed,0
AWRE,Aware Inc. Common Stock,Listed,2.11
AXGN,Axogen Inc. Common Stock,Listed,30.39
AXON,Axon Enterprise Inc. Common Stock,Listed,564.28
AXSM,Axsome Therapeutics Inc. Common Stock,Listed,148.17
AXTI,AXT Inc Common Stock,Listed,14.81
AYTU,Aytu BioPharma Inc.  Common Stock,Listed,2.3
AZ,A2Z Smart Technologies Corp. Common Shares,Listed,5.93
AZN,AstraZeneca PLC American Depositary Shares,Listed,89.83
AZTA,Azenta Inc.,Listed,35.3
BACK,IMAC Holdings Inc. Common Stock,Listed,0.18
BAER,Bridger Aerospace Group Holdings Inc. Common Stock,Listed,1.69
BAERW,Bridger Aerospace Group Holdings Inc. Warrant,Listed,0.15
BAFN,BayFirst Financial Corp. Common Stock,Listed,8.1
BAND,Bandwidth Inc. Class A Common Stock,Listed,15.27
BANF,BancFirst Corporation Common Stock,Listed,113.28
BANFP,BancFirst Corporation - BFC Capital Trust II Cumulative Trust Preferred Securities,Listed,26.25
BANL,CBL International Limited Ordinary Shares,Listed,0.44
BANR,Banner Corporation Common Stock,Listed,66.36
BANX,ArrowMark Financial Corp. Common Stock,Listed,22.2
BAOS,Baosheng Media Group Holdings Limited Ordinary shares,Listed,3.16
BATRA,Atlanta Braves Holdings Inc. Series A Common Stock,Listed,43.62
BATRK,Atlanta Braves Holdings Inc. Series C Common Stock,Listed,39.94
BAYA,Bayview Acquisition Corp Ordinary Shares,Listed,11.57
BAYAU,Bayview Acquisition Corp Unit,Listed,11.35
BBCP,Concrete Pumping Holdings Inc. Common Stock,Listed,6.99
BBGI,Beasley Broadcast Group Inc. Class A Common Stock,Listed,7.41
BBIO,BridgeBio Pharma Inc. Common Stock,Listed,75.15
BBLG,Bone Biologics Corp Common Stock,Listed,2.03
BBLGW,Bone Biologics Corp Warrants,Listed,21.7
BBSI,Barrett Business Services Inc. Common Stock,Listed,36.57
BCAB,BioAtla Inc. Common Stock,Listed,0.82
BCAL,Southern California Bancorp Common Stock,Listed,19.78
BCBP,BCB Bancorp Inc. (NJ) Common Stock,Listed,8.39
BCDA,BioCardia Inc. Common Stock,Listed,1.45
BCG,Binah Capital Group Inc. Common Stock,Listed,2.14
BCGWW,Binah Capital Group Inc. Warrants,Listed,0.14
BCLI,Brainstorm Cell Therapeutics Inc. Common Stock,Listed,0.56
BCML,BayCom Corp Common Stock,Listed,32.78
BCOW,1895 Bancorp of Wisconsin Inc. (MD) Common Stock,Listed,11.15
BCPC,Balchem Corporation Common Stock,Listed,155.98
BCRX,BioCryst Pharmaceuticals Inc. Common Stock,Listed,7.57
BCTX,BriaCell Therapeutics Corp. Common Shares,Listed,9.54
BCTXW,BriaCell Therapeutics Corp. Warrant,Listed,0.04
BCYC,Bicycle Therapeutics plc American Depositary Shares,Listed,7.45
BDRX,Biodexa Pharmaceuticals plc American Depositary Shs,Listed,4.75
BDSX,Biodesix Inc. Common Stock,Listed,7.85
BDTX,Black Diamond Therapeutics Inc. Common Stock,Listed,2.79
BEAM,Beam Therapeutics Inc. Common Stock,Listed,27.36
BEAT,Heartbeam Inc. Common Stock,Listed,2.3
BEATW,Heartbeam Inc. Warrant,Listed,0.23
BEEM,Beam Global Common Stock,Listed,1.82
BELFA,Bel Fuse Inc. Class A Common Stock,Listed,151.05
BELFB,Bel Fuse Inc. Class B Common Stock,Listed,173.12
BENF,Beneficient Class A Common Stock,Listed,0.6
BENFW,Beneficient Warrant,Listed,0.01
BETR,Better Home & Finance Holding Company Class A Common Stock,Listed,41.77
BETRW,Better Home & Finance Holding Company Warrant,Listed,0.24
BFC,Bank First Corporation Common Stock,Listed,135.26
BFIN,BankFinancial Corporation Common Stock,Listed,12.74
BFRG,Bullfrog AI Holdings Inc. Common Stock,Listed,1.1
BFRGW,Bullfrog AI Holdings Inc. Warrants,Listed,0.4
BFRI,Biofrontera Inc. Common Stock,Listed,0.81
BFRIW,Biofrontera Inc. Warrants,Listed,0.07
BFST,Business First Bancshares Inc. Common Stock,Listed,27.71
BGC,BGC Group Inc. Class A Common Stock,Listed,8.98
BGLC,BioNexus Gene Lab Corp Common stock,Listed,4.15
BGXX,Bright Green Corporation Common Stock,Listed,0.04
BHAT,Blue Hat Interactive Entertainment Technology Ordinary Shares,Listed,1.39
BHF,Brighthouse Financial Inc. Common Stock,Listed,65.4
BHFAL,Brighthouse Financial Inc. 6.25% Junior Subordinated Debentures due 2058,Listed,16.62
BHFAM,Brighthouse Financial Inc. Depositary shares each representing a 1/1000th Interest in a Share of 4.625% Non-Cumulative Preferred Stock Series D,Listed,11.07
BHFAN,Brighthouse Financial Inc. Depositary shares each representing a 1/1000th interest in a share of 5.375% Non-Cumulative Preferred Stock Series C,Listed,12.5
BHFAO,Brighthouse Financial Inc. Depositary Shares 6.75% Non-Cumulative Preferred Stock Series B,Listed,15.68
BHFAP,Brighthouse Financial Inc. Depositary Shares 6.6% Non-Cumulative Preferred Stock Series A,Listed,15.19
BHRB,Burke & Herbert Financial Services Corp. Common Stock,Listed,69.28
BIAF,bioAffinity Technologies Inc. Common Stock,Listed,1.51
BIAFW,bioAffinity Technologies Inc. Warrant,Listed,0.37
BIDU,Baidu Inc. ADS,Listed,125.01
BIIB,Biogen Inc. Common Stock,Listed,174.1
BILI,Bilibili Inc. American Depositary Shares,Listed,24.6
BIMI,BIMI International Medical Inc. Common Stock,Listed,0
BIOR,Biora Therapeutics Inc. Common Stock,Listed,0.22
BIOX,Bioceres Crop Solutions Corp. Ordinary Shares,Listed,1.57
BIRD,Allbirds Inc. Class A Common Stock,Listed,4.56
BITF,Bitfarms Ltd. Common Stock,Listed,2.74
BIVI,BioVie Inc. Class A Common Stock,Listed,1.45
BJDX,Bluejay Diagnostics Inc. Common Stock,Listed,1.05
BJRI,BJ's Restaurants Inc. Common Stock,Listed,40
BKHA,Black Hawk Acquisition Corporation Class A Ordinary Shares,Listed,11.25
BKHAR,Black Hawk Acquisition Corporation Rights,Listed,1.48
BKNG,Booking Holdings Inc. Common Stock,Listed,5301.64
BKR,Baker Hughes Company Class A Common Stock,Listed,46.86
BKYI,BIO-key International Inc. Common Stock,Listed,0.69
BL,BlackLine Inc. Common Stock,Listed,58.67
BLBD,Blue Bird Corporation Common Stock,Listed,50.36
BLBX,Blackboxstocks Inc. Common Stock,Listed,9.18
BLDP,Ballard Power Systems Inc. Common Shares,Listed,2.72
BLFS,BioLife Solutions Inc. Common Stock,Listed,24.39
BLFY,Blue Foundry Bancorp Common Stock,Listed,12.55
BLIN,Bridgeline Digital Inc. Common Stock,Listed,1.01
BLKB,Blackbaud Inc. Common Stock,Listed,62.9
BLMN,Bloomin' Brands Inc. Common Stock,Listed,7.09
BLNK,Blink Charging Co. Common Stock,Listed,0.78
BLRX,BioLineRx Ltd. American Depositary Shares,Listed,3.31
BLTE,Belite Bio Inc American Depositary Shares,Listed,141.32
BLZE,Backblaze Inc. Class A Common Stock,Listed,4.8
BMBL,Bumble Inc. Class A Common Stock,Listed,3.39
BMEA,Biomea Fusion Inc. Common Stock,Listed,1.41
BMR,Beamr Imaging Ltd. Ordinary Share,Listed,2.3
BMRA,Biomerica Inc. Common Stock,Listed,2.58
