SYMBOL,NAME OF COMPANY,Status,Last_Price(5d)
BMRC,Bank of Marin Bancorp Common Stock,Listed,27.91
BMRN,BioMarin Pharmaceutical Inc. Common Stock,Listed,53.31
BNAI,Brand Engagement Network Inc. Common Stock,Listed,2.58
BNAIW,Brand Engagement Network Inc. Warrant,Listed,0.05
BNGO,Bionano Genomics Inc. Common Stock,Listed,1.62
BNR,Burning Rock Biotech Limited American Depositary Shares,Listed,15.75
BNRG,Brenmiller Energy Ltd Ordinary Shares,Listed,0.8
BNTC,Benitec Biopharma Inc. Common Stock,Listed,11.98
BNTX,BioNTech SE American Depositary Share,Listed,94.81
BNZI,Banzai International Inc. Class A Common Stock,Listed,1.13
BNZIW,Banzai International Inc. Warrant,Listed,0.02
BOF,BranchOut Food Inc. Common Stock,Listed,3.4
BOKF,BOK Financial Corporation Common Stock,Listed,119.09
BOLD,Boundless Bio Inc. Common Stock,Listed,1.17
BOLT,Bolt Biotherapeutics Inc. Common Stock,Listed,5.44
BON,Bon Natural Life Limited Ordinary Shares,Listed,1.81
BOOM,DMC Global Inc. Common Stock,Listed,6.65
BOSC,B.O.S. Better Online Solutions Common Stock,Listed,4.25
BOTJ,Bank of the James Financial Group Inc. Common Stock,Listed,18
BOWN,Bowen Acquisition Corp Ordinary Shares,Listed,9.19
BOXL,Boxlight Corporation Class A Common Stock,Listed,0.83
BPOP,Popular Inc. Common Stock,Listed,121.07
BPOPM,Popular Inc. Popular Capital Trust II - 6.125% Cumulative Monthly Income Trust Preferred Securities,Listed,25.14
BPRN,Princeton Bancorp Inc. Common Stock (PA),Listed,36.26
BPTH,Bio-Path Holdings Inc. Common Stock,Listed,0.08
BPYPM,Brookfield Property Partners L.P. 6.25% Class A Cumulative Redeemable Preferred Units Series 1,Listed,15.41
BPYPN,Brookfield Property Partners L.P. 5.750% Class A Cumulative Redeemable Perpetual Preferred Units Series 3,Listed,13.44
BPYPO,Brookfield Property Partners L.P. 6.375% Class A Cumulative Redeemable Perpetual Preferred Units Series 2,Listed,14.5
BPYPP,Brookfield Property Partners L.P. 6.50% Class A Cumulative Redeemable Perpetual Preferred Units,Listed,14.81
BRAG,Bragg Gaming Group Inc. Common Shares,Listed,2.26
BRFH,Barfresh Food Group Inc. Common Stock,Listed,3.35
BRID,Bridgford Foods Corporation Common Stock,Listed,8.09
BRKR,Bruker Corporation Common Stock,Listed,45.13
BRLS,Borealis Foods Inc. Class A Common Shares,Listed,1.9
BRLSW,Borealis Foods Inc. Warrant,Listed,0.05
BRLT,Brilliant Earth Group Inc. Class A Common Stock,Listed,1.89
BRNS,Barinthus Biotherapeutics plc American Depositary Shares,Listed,0.68
BRTX,BioRestorative Therapies Inc. Common Stock (NV),Listed,1.11
BRY,Berry Corporation (bry) Common Stock,Listed,3.46
BRZE,Braze Inc. Class A Common Stock,Listed,33.14
BSBK,Bogota Financial Corp. Common Stock,Listed,8.2
BSET,Bassett Furniture Industries Incorporated Common Stock,Listed,16.96
BSFC,Blue Star Foods Corp. Common Stock,Listed,0
BSRR,Sierra Bancorp Common Stock,Listed,34.08
BSVN,Bank7 Corp. Common stock,Listed,44.09
BSY,Bentley Systems Incorporated Class B Common Stock,Listed,40.58
BTAI,BioXcel Therapeutics Inc. Common Stock,Listed,2.01
BTBD,BT Brands Inc. Common Stock,Listed,1.53
BTBT,Bit Digital Inc. Ordinary Shares,Listed,2.25
BTCS,BTCS Inc. Common Stock,Listed,3.23
BTCT,BTC Digital Ltd. Ordinary Shares,Listed,1.79
BTCY,Biotricity Inc. Common Stock,Listed,0.34
BTDR,Bitdeer Technologies Group Class A Ordinary Shares,Listed,10.65
BTM,Bitcoin Depot Inc. Class A Common Stock,Listed,1.42
BTMD,Biote Corp. Class A Common Stock,Listed,2.7
BTMWW,Bitcoin Depot Inc. Warrant,Listed,0.14
BTOC,Armlogi Holding Corp. Common Stock,Listed,0.69
BTOG,Bit Origin Limited Ordinary Shares,Listed,0.25
BTSG,BrightSpring Health Services Inc. Common Stock,Listed,36.54
BTSGU,BrightSpring Health Services Inc. Tangible Equity Unit,Listed,124.61
BUSE,First Busey Corporation Class A Common Stock,Listed,25.17
BVFL,BV Financial Inc. Common Stock,Listed,19.11
BVS,Bioventus Inc. Class A Common Stock,Listed,7.55
BWAY,BrainsWay Ltd. American Depositary Shares,Listed,16.97
BWB,Bridgewater Bancshares Inc. Common Stock,Listed,18.76
BWBBP,Bridgewater Bancshares Inc. Depositary Shares Each Representing a 1/100th Interest in a Share of 5.875% Non-Cumulative Perpetual Preferred Stock Series A,Listed,19.59
BWEN,Broadwind Inc. Common Stock,Listed,3.26
BWFG,Bankwell Financial Group Inc. Common Stock,Listed,48.86
BWIN,The Baldwin Insurance Group Inc. Class A Common Stock,Listed,24.08
BWMN,Bowman Consulting Group Ltd. Common Stock,Listed,36.21
BWMX,Betterware de Mexico S.A.P.I. de C.V. Ordinary Shares,Listed,14.09
BYFC,Broadway Financial Corporation Class A Common Stock,Listed,6.2
BYND,Beyond Meat Inc. Common Stock,Listed,1.09
BYNO,byNordic Acquisition Corporation Class A Common Stock,Listed,12.15
BYRN,Byrna Technologies Inc. Common Stock,Listed,18.72
BYSI,BeyondSpring Inc. Ordinary Shares,Listed,2.11
BZ,KANZHUN LIMITED American Depository Shares,Listed,19.96
BZFD,BuzzFeed Inc. Class A Common Stock,Listed,1.09
BZFDW,BuzzFeed Inc. Warrant,Listed,0.02
BZUN,Baozun Inc. American Depositary Shares,Listed,2.76
CAAS,China Automotive Systems Inc. Common Stock,Listed,4.28
CABA,Cabaletta Bio Inc. Common Stock,Listed,2.36
CAC,Camden National Corporation Common Stock,Listed,45.21
CACC,Credit Acceptance Corporation Common Stock,Listed,472.21
CADL,Candel Therapeutics Inc. Common Stock,Listed,6.35
CAKE,Cheesecake Factory Incorporated (The) Common Stock,Listed,49.86
CALC,CalciMedica Inc. Common Stock,Listed,4.33
CALM,Cal-Maine Foods Inc. Common Stock,Listed,86.89
CAMP,CalAmp Corp. Common Stock,Listed,6.49
CAMT,Camtek Ltd. Ordinary Shares,Listed,111.95
CAN,Canaan Inc. American Depositary Shares,Listed,0.84
CAPR,Capricor Therapeutics Inc. Common Stock,Listed,26.02
CAPT,Captivision Inc. Ordinary Shares,Listed,0.58
CAR,Avis Budget Group Inc. Common Stock,Listed,131.03
CARE,Carter Bankshares Inc. Common Stock,Listed,19.98
CARG,CarGurus Inc. Class A Common Stock ,Listed,38.5
CARM,Carisma Therapeutics Inc. Common Stock,Listed,0.05
CART,Maplebear Inc. Common Stock,Listed,44.96
CARV,Carver Bancorp Inc. Common Stock,Listed,1.23
CASH,Pathward Financial Inc. Common Stock,Listed,74.43
CASI,CASI Pharmaceuticals Inc. Ordinary Shares,Listed,0.86
CASS,Cass Information Systems Inc Common Stock,Listed,44.7
CASY,Casey's General Stores Inc. Common Stock,Listed,540.07
CATY,Cathay General Bancorp Common Stock,Listed,50.02
CAUD,Collective Audience Inc.. Common Stock,Listed,0
CBAN,Colony Bankcorp Inc. Common Stock,Listed,18.35
CBAT,CBAK Energy Technology Inc. Common Stock,Listed,0.89
CBFV,CB Financial Services Inc. Common Stock,Listed,35.81
CBNK,Capital Bancorp Inc. Common Stock,Listed,29.58
CBRL,Cracker Barrel Old Country Store Inc Common Stock,Listed,27.33
CBSH,Commerce Bancshares Inc. Common Stock,Listed,53.74
CBUS,Cibus Inc. Class A Common Stock,Listed,1.61
CCAP,Crescent Capital BDC Inc. Common stock,Listed,14.96
CCB,Coastal Financial Corporation Common Stock,Listed,114.09
CCBG,Capital City Bank Group Common Stock,Listed,44.92
CCCC,C4 Therapeutics Inc. Common Stock,Listed,2.47
CCCS,CCC Intelligent Solutions Holdings Inc. Common Stock,Listed,7.68
CCD,Calamos Dynamic Convertible & Income Fund Common Stock,Listed,21.28
CCEP,Coca-Cola Europacific Partners plc Ordinary Shares,Listed,90.8
CCG,Cheche Group Inc. Class A Ordinary Shares,Listed,0.94
CCGWW,Cheche Group Inc. Warrant,Listed,0.03
CCIXU,Churchill Capital Corp IX Unit,Listed,10.8
CCLD,CareCloud Inc. Common Stock,Listed,3.29
CCLDO,CareCloud Inc. 8.75% Series B Cumulative Redeemable Perpetual Preferred Stock,Listed,25.55
CCNE,CNB Financial Corporation Common Stock,Listed,27.88
CCNEP,CNB Financial Corporation Depositary Shares each representing a 1/40th ownership interest in a share of 7.125% Series A Fixed-Rate Non-Cumulative Perpetual Preferred Stock,Listed,24.53
CCOI,Cogent Communications Holdings Inc.,Listed,23.27
CCRN,Cross Country Healthcare Inc. Common Stock $0.0001 Par Value,Listed,8.49
CCSI,Consensus Cloud Solutions Inc. Common Stock,Listed,23.96
CCTG,CCSC Technology International Holdings Limited Ordinary Shares,Listed,0.17
CDIO,Cardio Diagnostics Holdings Inc. Common stock,Listed,3.52
CDIOW,Cardio Diagnostics Holdings Inc. Warrant,Listed,0.02
CDLX,Cardlytics Inc. Common Stock,Listed,1.08
CDNA,CareDx Inc. Common Stock,Listed,20.56
CDNS,Cadence Design Systems Inc. Common Stock,Listed,323.22
CDRO,Codere Online Luxembourg S.A. Ordinary Shares,Listed,7.72
CDROW,Codere Online Luxembourg S.A. Warrants,Listed,0.88
CDT,Conduit Pharmaceuticals Inc. Common Stock,Listed,1.75
CDTG,CDT Environmental Technology Investment Holdings Limited ordinary shares,Listed,0.43
CDTTW,Conduit Pharmaceuticals Inc. Warrant,Listed,0.01
CDTX,Cidara Therapeutics Inc. Common Stock,Listed,220.65
CDW,CDW Corporation Common Stock,Listed,144.93
CDXS,Codexis Inc. Common Stock,Listed,1.67
CDZI,CADIZ Inc. Common Stock,Listed,5.67
CDZIP,Cadiz Inc. Depositary Shares,Listed,19.6
CECO,CECO Environmental Corp. Common Stock,Listed,60.96
CEG,Constellation Energy Corporation Common Stock ,Listed,351.98
CELC,Celcuity Inc. Common Stock,Listed,105.25
CELH,Celsius Holdings Inc. Common Stock,Listed,43.84
CELU,Celularity Inc. Class A Common Stock,Listed,1.6
CELZ,Creative Medical Technology Holdings Inc. Common Stock,Listed,2.15
CENN,Cenntro Inc. Common Stock,Listed,0.16
CENT,Central Garden & Pet Company Common Stock,Listed,33.58
CENTA,Central Garden & Pet Company Class A Common Stock Nonvoting,Listed,30.44
CENX,Century Aluminum Company Common Stock,Listed,31.56
CERO,CERo Therapeutics Holdings Inc. Common Stock,Listed,0.1
CEROW,CERo Therapeutics Holdings Inc. Warrants,Listed,0
CERS,Cerus Corporation Common Stock,Listed,2.18
CERT,Certara Inc. Common Stock,Listed,8.58
CETX,Cemtrex Inc. Common Stock,Listed,2.96
CETY,Clean Energy Technologies Inc. Common Stock,Listed,0.96
CEVA,CEVA Inc. Common Stock,Listed,21.83
CFBK,CF Bankshares Inc. Common Stock,Listed,23.8
CFFI,C&F Financial Corporation Common Stock,Listed,73.44
CFFN,Capitol Federal Financial Inc. Common Stock,Listed,7
CFLT,Confluent Inc. Class A Common Stock,Listed,30.05
CG,The Carlyle Group Inc. Common Stock,Listed,58.35
CGABL,The Carlyle Group Inc. 4.625% Subordinated Notes due 2061,Listed,17.55
CGBD,Carlyle Secured Lending Inc. Common Stock,Listed,13.02
CGC,Canopy Growth Corporation Common Shares,Listed,1.74
CGEM,Cullinan Therapeutics Inc. Common Stock,Listed,11.92
CGEN,Compugen Ltd. Ordinary Shares,Listed,1.53
CGNT,Cognyte Software Ltd. Ordinary Shares,Listed,9.86
CGNX,Cognex Corporation Common Stock,Listed,35.65
CGO,Calamos Global Total Return Fund Common Stock,Listed,11.37
CGON,CG Oncology Inc. Common stock,Listed,40.94
CGTX,Cognition Therapeutics Inc. Common Stock,Listed,1.69
CHCI,Comstock Holding Companies Inc. Class A Common Stock,Listed,12.85
CHCO,City Holding Company Common Stock,Listed,124.98
CHDN,Churchill Downs Incorporated Common Stock,Listed,116.76
CHEF,The Chefs' Warehouse Inc. Common Stock,Listed,62.47
CHEK,Check-Cap Ltd. Ordinary Share,Listed,1.72
CHI,Calamos Convertible Opportunities and Income Fund Common Stock,Listed,10.73
CHKP,Check Point Software Technologies Ltd. Ordinary Shares,Listed,192.12
CHMG,Chemung Financial Corp Common Stock,Listed,57.6
CHNR,China Natural Resources Inc. Common Stock,Listed,4.1
CHR,Cheer Holding Inc. Ordinary Share,Listed,0.04
CHRD,Chord Energy Corporation Common Stock,Listed,97.36
CHRS,Coherus BioSciences Inc. Common Stock,Listed,1.35
CHRW,C.H. Robinson Worldwide Inc. Common Stock,Listed,157.09
CHSCL,CHS Inc Class B Cumulative Redeemable Preferred Stock Series 4,Listed,25.75
CHSCM,CHS Inc Class B Reset Rate Cumulative Redeemable Preferred Stock Series 3,Listed,25.02
CHSCN,CHS Inc Preferred Class B Series 2 Reset Rate,Listed,25.26
CHSCO,CHS Inc. Class B Cumulative Redeemable Preferred Stock,Listed,26.47
CHSCP,CHS Inc. 8%  Cumulative Redeemable Preferred Stock,Listed,28.4
CHSN,Chanson International Holding Class A Ordinary Shares,Listed,2.23
CHTR,Charter Communications Inc. Class A Common Stock New,Listed,206.6
CHW,Calamos Global Dynamic Income Fund Common Stock,Listed,7.32
CHY,Calamos Convertible and High Income Fund Common Stock,Listed,11.37
CIFR,Cipher Mining Inc. Common Stock,Listed,17.05
CIFRW,Cipher Mining Inc. Warrant,Listed,4.56
CIGI,Colliers International Group Inc. Subordinate Voting Shares,Listed,145.53
CINF,Cincinnati Financial Corporation Common Stock,Listed,165.86
CING,Cingulate Inc. Common Stock,Listed,4.44
CINGW,Cingulate Inc. Warrants,Listed,0.08
CISO,CISO Global Inc. Common Stock,Listed,0.47
CISS,C3is Inc. Common Stock,Listed,0.25
CIVB,Civista Bancshares Inc. Common Stock,Listed,24.12
CJET,Chijet Motor Company Inc. Ordinary Shares,Listed,0.71
CLAR,Clarus Corporation Common Stock,Listed,3.38
CLBK,Columbia Financial Inc. Common Stock,Listed,17.12
CLBT,Cellebrite DI Ltd. Ordinary Shares,Listed,18.82
CLDX,Celldex Therapeutics Inc.,Listed,27.51
CLFD,Clearfield Inc. Common Stock,Listed,29.64
CLGN,CollPlant Biotechnologies Ltd Ordinary Shares,Listed,1.81
CLIR,ClearSign Technologies Corporation Common Stock (DE),Listed,0.66
CLLS,Cellectis S.A. American Depositary Shares,Listed,4.68
CLMB,Climb Global Solutions Inc. Common Stock,Listed,107.92
CLMT,Calumet Specialty Products Partners L.P. Common Units,Listed,20.46
CLNE,Clean Energy Fuels Corp. Common Stock,Listed,2.26
CLNN,Clene Inc. Common Stock,Listed,6.77
CLNNW,Clene Inc. Warrant,Listed,0.01
CLOV,Clover Health Investments Corp. Class A Common Stock,Listed,2.7
CLPS,CLPS Incorporation Common Stock,Listed,0.91
CLPT,ClearPoint Neuro Inc. Common Stock,Listed,12.71
CLRB,Cellectar Biosciences Inc.  Common Stock,Listed,3.62
CLRO,ClearOne Inc. (DE) Common Stock,Listed,5.3
CLSD,Clearside Biomedical Inc. Common Stock,Listed,0.86
CLSK,CleanSpark Inc. Common Stock,Listed,14.03
CLST,Catalyst Bancorp Inc. Common Stock,Listed,15.27
CLWT,Euro Tech Holdings Company Limited Common Stock,Listed,1.23
CMBM,Cambium Networks Corporation Ordinary Shares,Listed,1.75
CMCO,Columbus McKinnon Corporation Common Stock,Listed,17.87
CMCSA,Comcast Corporation Class A Common Stock,Listed,27.23
CMCT,Creative Media & Community Trust Corporation Common stock,Listed,4.28
CME,CME Group Inc. Class A Common Stock,Listed,273.55
CMLS,Cumulus Media Inc. Class A Common Stock,Listed,0.11
CMMB,Chemomab Therapeutics Ltd. American Depositary Share,Listed,2.22
CMND,Clearmind Medicine Inc. Common Shares,Listed,0.07
CMPO,CompoSecure Inc. Class A Common Stock,Listed,20.22
CMPR,Cimpress plc Ordinary Shares (Ireland),Listed,74.62
CMPS,COMPASS Pathways Plc American Depository Shares,Listed,6.74
CMPX,Compass Therapeutics Inc. Common Stock,Listed,5.16
CMTL,Comtech Telecommunications Corp. Common Stock,Listed,3.06
CNDT,Conduent Incorporated Common Stock ,Listed,2
CNET,ZW Data Action Technologies Inc. Common Stock,Listed,1.42
CNEY,CN Energy Group Inc. Class A Ordinary Shares,Listed,0.65
CNGL,Canna-Global Acquisition Corp. Class A Common Stock,Listed,10.74
CNGLU,Canna-Global Acquisition Corp Unit,Listed,10.01
CNOB,ConnectOne Bancorp Inc. Common Stock,Listed,27.65
CNOBP,ConnectOne Bancorp Inc. Depositary Shares each representing a 1/40th interest in a share of 5.25% Fixed-Rate Reset Non-Cumulative Perpetual Preferred Stock Series A,Listed,24.23
CNSP,CNS Pharmaceuticals Inc. Common Stock,Listed,7.79
CNTA,Centessa Pharmaceuticals plc American Depositary Shares,Listed,26.51
CNTB,Connect Biopharma Holdings Limited American Depositary Shares,Listed,2.5
CNTX,Context Therapeutics Inc. Common Stock,Listed,1.04
CNTY,Century Casinos Inc. Common Stock,Listed,1.31
CNVS,Cineverse Corp. Class A Common Stock,Listed,2.47
CNXC,Concentrix Corporation Common Stock,Listed,39.57
CNXN,PC Connection Inc. Common Stock,Listed,60.28
COCH,Envoy Medical Inc. Class A Common Stock,Listed,0.81
COCHW,Envoy Medical Inc Warrant,Listed,0.04
COCO,The Vita Coco Company Inc. Common Stock,Listed,54.56
COCP,Cocrystal Pharma Inc. Common Stock,Listed,1.05
CODA,Coda Octopus Group Inc. Common stock,Listed,9.09
CODX,Co-Diagnostics Inc. Common Stock,Listed,0.34
COEP,Coeptis Therapeutics Holdings Inc. Common Stock,Listed,15.13
COFS,ChoiceOne Financial Services Inc. Common Stock,Listed,31.9
COGT,Cogent Biosciences Inc. Common Stock,Listed,42.11
COHU,Cohu Inc. Common Stock,Listed,23.88
COIN,Coinbase Global Inc. Class A Common Stock,Listed,267.46
COKE,Coca-Cola Consolidated Inc. Common Stock,Listed,165.78
COLB,Columbia Banking System Inc. Common Stock,Listed,29.24
COLL,Collegium Pharmaceutical Inc. Common Stock,Listed,48.63
COLM,Columbia Sportswear Company Common Stock,Listed,57.18
COMM,CommScope Holding Company Inc. Common Stock,Listed,19.44
COO,The Cooper Companies Inc. Common Stock,Listed,82.08
COOT,Australian Oilseeds Holdings Limited Ordinary Shares,Listed,0.79
CORT,Corcept Therapeutics Incorporated Common Stock,Listed,87.99
CORZ,Core Scientific Inc. Common Stock,Listed,16.53
CORZW,Core Scientific Inc. Tranche 1 Warrants,Listed,10.21
CORZZ,Core Scientific Inc. Tranche 2 Warrants,Listed,16.39
COSM,Cosmos Health Inc. Common Stock,Listed,0.44
COST,Costco Wholesale Corporation Common Stock,Listed,884.47
COYA,Coya Therapeutics Inc. Common Stock,Listed,6.18
CPBI,Central Plains Bancshares Inc. Common Stock,Listed,16.45
CPHC,Canterbury Park Holding Corporation 'New' Common Stock,Listed,15.24
CPIX,Cumberland Pharmaceuticals Inc. Common Stock,Listed,2.53
CPOP,Pop Culture Group Co. Ltd Class A Ordinary Shares,Listed,0.44
CPRT,Copart Inc. (DE) Common Stock,Listed,38.67
CPRX,Catalyst Pharmaceuticals Inc. Common Stock,Listed,23.62
CPSH,CPS Technologies Corp. Common Stock,Listed,3.4
CPSS,Consumer Portfolio Services Inc. Common Stock,Listed,9.2
CPZ,Calamos Long/Short Equity & Dynamic Income Trust Common Stock,Listed,14.61
CRAI,CRA International Inc. Common Stock,Listed,200.17
CRBP,Corbus Pharmaceuticals Holdings Inc. Common Stock,Listed,9.7
CRBU,Caribou Biosciences Inc. Common Stock,Listed,1.79
CRCT,Cricut Inc. Class A Common Stock,Listed,5.2
CRDF,Cardiff Oncology Inc. Common Stock,Listed,2.39
CRDL,Cardiol Therapeutics Inc. Class A Common Shares,Listed,1.08
CRDO,Credo Technology Group Holding Ltd Ordinary Shares,Listed,143.91
CREG,Smart Powerr Corp. Common Stock,Listed,1.16
CRESW,Cresud S.A.C.I.F. y A. Warrant,Listed,1
CRESY,Cresud S.A.C.I.F. y A. American Depositary Shares,Listed,11.83
CREV,Carbon Revolution Public Limited Ordinary Shares,Listed,1.88
CREVW,Carbon Revolution Public Limited Company Warrant,Listed,0.01
CREX,Creative Realities Inc. Common Stock,Listed,2.83
CRGO,Freightos Limited Ordinary shares,Listed,3.06
CRGOW,Freightos Limited Warrants,Listed,0.2
CRIS,Curis Inc. Common Stock,Listed,1.16
CRKN,Crown Electrokinetics Corp. Common Stock,Listed,0.1
CRMD,CorMedix Inc. Common Stock,Listed,11.49
CRML,Critical Metals Corp. Ordinary Shares,Listed,9.18
CRMLW,Critical Metals Corp. Warrants,Listed,4.29
CRMT,America's Car-Mart Inc Common Stock,Listed,24.2
CRNC,Cerence Inc. Common Stock,Listed,11.51
CRNT,Ceragon Networks Ltd. Ordinary Shares,Listed,2.06
CRNX,Crinetics Pharmaceuticals Inc. Common Stock,Listed,50.49
CRON,Cronos Group Inc. Common Share,Listed,3.27
CROX,Crocs Inc. Common Stock,Listed,89.91
CRSP,CRISPR Therapeutics AG Common Shares,Listed,56.68
CRSR,Corsair Gaming Inc. Common Stock,Listed,6.2
CRTO,Criteo S.A. American Depositary Shares,Listed,20.39
CRUS,Cirrus Logic Inc. Common Stock,Listed,122.52
CRVL,CorVel Corp. Common Stock,Listed,69.93
CRVO,CervoMed Inc. Common Stock,Listed,8.45
CRVS,Corvus Pharmaceuticals Inc. Common Stock,Listed,8.37
CRWD,CrowdStrike Holdings Inc. Class A Common Stock,Listed,504.78
CRWS,Crown Crafts Inc Common Stock,Listed,2.62
CSBR,Champions Oncology Inc. Common Stock,Listed,6.72
CSCO,Cisco Systems Inc. Common Stock (DE),Listed,77.8
CSGP,CoStar Group Inc. Common Stock,Listed,68.23
CSGS,CSG Systems International Inc. Common Stock,Listed,77.11
CSIQ,Canadian Solar Inc. Common Shares (ON),Listed,22.65
CSPI,CSP Inc. Common Stock,Listed,14.39
CSQ,Calamos Strategic Total Return Common Stock,Listed,19.03
CSTE,Caesarstone Ltd. Ordinary Shares,Listed,1.57
CSTL,Castle Biosciences Inc. Common Stock,Listed,38.63
CSWC,Capital Southwest Corporation Common Stock,Listed,22.27
CSX,CSX Corporation Common Stock,Listed,37.39
CTAS,Cintas Corporation Common Stock,Listed,187.53
CTBI,Community Trust Bancorp Inc. Common Stock,Listed,60.12
CTHR,Charles & Colvard Ltd Common Stock,Listed,0.25
CTKB,Cytek Biosciences Inc. Common Stock,Listed,4.86
CTLP,Cantaloupe Inc. Common Stock,Listed,10.61
CTMX,CytomX Therapeutics Inc. Common Stock,Listed,4.19
CTNM,Contineum Therapeutics Inc. Class A Common Stock,Listed,11.63
CTNT,Cheetah Net Supply Chain Service Inc. Class A Common Stock,Listed,1.4
CTRM,Castor Maritime Inc. Common Shares,Listed,2.21
CTRN,Citi Trends Inc. Common Stock,Listed,44.5
CTSH,Cognizant Technology Solutions Corporation Class A Common Stock,Listed,83.94
CTSO,Cytosorbents Corporation Common Stock,Listed,0.68
CTXR,Citius Pharmaceuticals Inc. Common Stock,Listed,1.12
CUE,Cue Biopharma Inc. Common Stock,Listed,0.49
CULL,Cullman Bancorp Inc. Common Stock,Listed,12.25
CURI,CuriosityStream Inc. Class A Common Stock,Listed,4.62
CVAC,CureVac N.V. Ordinary Shares,Listed,5.05
CVBF,CVB Financial Corporation Common Stock,Listed,19.92
CVCO,Cavco Industries Inc. Common Stock When Issued,Listed,597.03
CVGI,Commercial Vehicle Group Inc. Common Stock,Listed,1.59
CVGW,Calavo Growers Inc. Common Stock,Listed,21.44
CVKD,Cadrenal Therapeutics Inc. Common Stock,Listed,11
CVLG,Covenant Logistics Group Inc. Class A Common Stock,Listed,23.16
CVLT,Commvault Systems Inc. Common Stock,Listed,121.59
CVRX,CVRx Inc. Common Stock,Listed,8.45
CVV,CVD Equipment Corporation Common Stock,Listed,3.3
CWBC,Community West Bancshares Common Stock,Listed,23.79
CWCO,Consolidated Water Co. Ltd. Ordinary Shares,Listed,35.76
CWD,CaliberCos Inc. Class A Common Stock,Listed,1.75
CWST,Casella Waste Systems Inc. Class A Common Stock,Listed,99.05
CXAI,CXApp Inc. Class A Common Stock,Listed,0.4
CXAIW,CXApp Inc. Warrant,Listed,0.07
CXDO,Crexendo Inc. Common Stock,Listed,6.9
CYBR,CyberArk Software Ltd. Ordinary Shares,Listed,462.86
CYCN,Cyclerion Therapeutics Inc. Common Stock,Listed,1.51
CYN,Cyngn Inc. Common Stock,Listed,3.64
CYRX,CryoPort Inc. Common Stock,Listed,9.4
CYTK,Cytokinetics Incorporated Common Stock,Listed,63.35
CZFS,Citizens Financial Services Inc. Common Stock,Listed,61.2
CZNC,Citizens & Northern Corp Common Stock,Listed,21.67
CZR,Caesars Entertainment Inc. Common Stock,Listed,24.53
CZWI,Citizens Community Bancorp Inc. Common Stock,Listed,18.34
DAIO,Data I/O Corporation Common Stock,Listed,3.17
DAKT,Daktronics Inc. Common Stock,Listed,18.77
DARE,Dare Bioscience Inc. Common Stock,Listed,2.47
DASH,DoorDash Inc. Class A Common Stock,Listed,227.49
DAVE,Dave Inc. Class A Common Stock,Listed,197.61
DAVEW,Dave Inc. Warrants,Listed,0.73
DAWN,Day One Biopharmaceuticals Inc. Common Stock,Listed,8.36
DBGI,Digital Brands Group Inc. Common Stock,Listed,7.58
DBVT,DBV Technologies S.A. American Depositary Shares,Listed,18.37
DBX,Dropbox Inc. Class A Common Stock,Listed,28.32
DCBO,Docebo Inc. Common Shares,Listed,22.01
DCGO,DocGo Inc. Common Stock,Listed,0.92
DCOM,Dime Community Bancshares Inc. Common Stock,Listed,31.27
DCOMP,Dime Community Bancshares Inc. Fixed-Rate Non-Cumulative Perpetual Preferred Stock Series A,Listed,18.14
DCTH,Delcath Systems Inc. Common Stock,Listed,10.37
DDI,DoubleDown Interactive Co. Ltd. American Depository Shares,Listed,9.05
DDOG,Datadog Inc. Class A Common Stock,Listed,146
DENN,Denny's Corporation Common Stock,Listed,6.2
DERM,Journey Medical Corporation Common Stock,Listed,7.67
DFLI,Dragonfly Energy Holdings Corp. Common Stock (NV),Listed,0.79
DFLIW,Dragonfly Energy Holdings Corp. Warrant,Listed,0.13
DGICA,Donegal Group Inc. Class A Common Stock,Listed,20.36
DGICB,Donegal Group Inc. Class B Common Stock,Listed,15.71
DGII,Digi International Inc. Common Stock,Listed,45.51
DGLY,Digital Ally Inc. Common Stock,Listed,1.13
DH,Definitive Healthcare Corp. Class A Common Stock,Listed,2.31
DHAI,DIH Holdings US Inc. Class A Common Stock,Listed,0
DHC,Diversified Healthcare Trust Common Shares of Beneficial Interest,Listed,4.69
DHCNI,Diversified Healthcare Trust 5.625% Senior Notes due 2042,Listed,16.77
DHCNL,Diversified Healthcare Trust 6.25% Senior Notes Due 2046,Listed,18.11
DHIL,Diamond Hill Investment Group Inc. Class A Common Stock,Listed,169
DIBS,1stdibs.com Inc. Common Stock,Listed,5.99
DIOD,Diodes Incorporated Common Stock,Listed,50.59
DJCO,Daily Journal Corp. (S.C.) Common Stock,Listed,507.65
DJT,Trump Media & Technology Group Corp. Common Stock,Listed,10.65
DJTWW,Trump Media & Technology Group Corp. Warrants,Listed,20.61
DKNG,DraftKings Inc. Class A Common Stock,Listed,35.52
DLHC,DLH Holdings Corp.,Listed,5.71
DLO,DLocal Limited Class A Common Shares,Listed,14.13
DLPN,Dolphin Entertainment Inc. Common Stock,Listed,1.61
DLTH,Duluth Holdings Inc. Class B Common Stock,Listed,2.91
DLTR,Dollar Tree Inc. Common Stock,Listed,129.87
DMAC,DiaMedica Therapeutics Inc. Common Stock,Listed,9.39
DMLP,Dorchester Minerals L.P. Common Units Representing Limited Partnership Interests,Listed,22.68
DMRC,Digimarc Corporation Common Stock,Listed,8.69
DNLI,Denali Therapeutics Inc. Common Stock,Listed,17.98
