SYMBOL,SUFFIX,NAME OF COMPANY,Status,Last_Price(5d)
TVVISION,.NS,TV Vision Limited,Listed,7.77
AUSOMENT,.NS,Ausom Enterprise Limited,Listed,109.09
INDOTHAI,.NS,Indo Thai Securities Limited,Listed,368.15
SASKEN,.NS,Sasken Communication Technologies Limited,Listed,1228.7
SHYAMCENT,.NS,Shyam Century Ferrous Limited,Listed,6.18
VARDMNPOLY,.NS,Vardhman Polytex Limited,Listed,6.28
WENDT,.NS,Wendt (India) Limited,Listed,8123.5
AARVEEDEN,.NS,Aarvee Denims & Exports Limited,Listed,149.61
ADFFOODS,.NS,ADF Foods Limited,Listed,210.78
ALICON,.NS,Alicon Castalloy Limited,Listed,857.95
BASF,.NS,BASF India Limited,Listed,3901.4
CCCL,.NS,Consolidated Construction Consortium Limited,Listed,18.0
CELEBRITY,.NS,Celebrity Fashions Limited,Listed,8.52
COLPAL,.NS,Colgate Palmolive (India) Limited,Listed,2161.3
EIHOTEL,.NS,EIH Limited,Listed,378.15
FCL,.NS,Fineotex Chemical Limited,Listed,24.44
GSS,.NS,GSS Infotech Limited,Listed,18.03
HTMEDIA,.NS,HT Media Limited,Listed,22.15
INDIANCARD,.NS,Indian Card Clothing Company Limited,Listed,242.7
JAYBARMARU,.NS,Jay Bharat Maruti Limited,Listed,88.51
KAMDHENU,.NS,Kamdhenu Limited,Listed,25.93
JKPAPER,.NS,JK Paper Limited,Listed,364.65
KIRIINDUS,.NS,Kiri Industries Limited,Listed,561.55
KIRLOSIND,.NS,Kirloskar Industries Limited,Listed,3308.9
LOKESHMACH,.NS,Lokesh Machines Limited,Listed,173.61
MADHUCON,.NS,Madhucon Projects Limited,Listed,6.11
NAHARPOLY,.NS,Nahar Poly Films Limited,Listed,259.7
NELCO,.NS,NELCO Limited,Listed,757.1
NIITLTD,.NS,NIIT Limited,Listed,88.12
SANGAMIND,.NS,Sangam (India) Limited,Listed,443.35
SHALPAINTS,.NS,Shalimar Paints Limited,Listed,60.25
SHREEPUSHK,.NS,Shree Pushkar Chemicals & Fertilisers Limited,Listed,383.7
TARMAT,.NS,Tarmat Limited,Listed,51.65
THYROCARE,.NS,Thyrocare Technologies Limited,Listed,435.75
TIIL,.NS,Technocraft Industries (India) Limited,Listed,2195.3
TRITURBINE,.NS,Triveni Turbine Limited,Listed,532.9
TTL,.NS,T T Limited,Listed,8.76
VIVIDHA,.NS,Visagar Polytex Limited,Listed,0.71
WONDERLA,.NS,Wonderla Holidays Limited,Listed,543.6
SALONA,.NS,Salona Cotspin Limited,Listed,285.05
WANBURY,.NS,Wanbury Limited,Listed,237.3
ALANKIT,.NS,Alankit Limited,Listed,10.99
ALPHAGEO,.NS,Alphageo (India) Limited,Listed,220.67
RELIANCE,.NS,Reliance Industries Limited,Listed,1556.5
RUPA,.NS,Rupa & Company Limited,Listed,162.75
SETFNN50,.NS,SBI-ETF Nifty Next 50,Listed,729.22
XPROINDIA,.NS,Xpro India Limited,Listed,965.1
ZEEL,.NS,Zee Entertainment Enterprises Limited,Listed,94.17
ATNINTER,.NS,ATN International Limited,Listed,0.2
SILINV,.NS,SIL Investments Limited,Listed,515.8
SOUTHBANK,.NS,The South Indian Bank Limited,Listed,39.96
TFL,.NS,Transwarranty Finance Limited,Listed,13.56
BHAGERIA,.NS,Bhageria Industries Limited,Listed,177.35
BLUECOAST,.NS,Blue Coast Hotels Limited,Listed,34.87
BSL,.NS,BSL Limited,Listed,162.31
CREST,.NS,Crest Ventures Limited,Listed,359.8
CYIENT,.NS,Cyient Limited,Listed,1167.7
JAMNAAUTO,.NS,Jamna Auto Industries Limited,Listed,124.79
REMSONSIND,.NS,Remsons Industries Limited,Listed,118.23
AVANTIFEED,.NS,Avanti Feeds Limited,Listed,807.1
BOSCHLTD,.NS,Bosch Limited,Listed,36715.0
DISHTV,.NS,Dish TV India Limited,Listed,4.05
DREDGECORP,.NS,Dredging Corporation of India Limited,Listed,1034.7
ORICONENT,.NS,Oricon Enterprises Limited,Listed,58.91
PATELENG,.NS,Patel Engineering Limited,Listed,30.14
RADICO,.NS,Radico Khaitan Limited,Listed,3224.1
UTISENSETF,.NS,UTI Mutual Fund - UTI-Sensex Exchange Traded Fund,Listed,940.0
PGHH,.NS,Procter & Gamble Hygiene and Health Care Limited,Listed,12774.0
HFCL,.NS,Himachal Futuristic Communications Limited,Listed,66.56
LICNFNHGP,.NS,LICNAMC - LICNFNHGP,Listed,289.29
BLUECHIP,.NS,Blue Chip India Limited,Listed,3.27
CEATLTD,.NS,CEAT Limited,Listed,3730.5
CONTROLPR,.NS,Control Print Limited,Listed,725.85
DCMSHRIRAM,.NS,DCM Shriram Limited,Listed,1244.8
NILAINFRA,.NS,Nila Infrastructures Limited,Listed,9.85
QUESS,.NS,Quess Corp Limited,Listed,209.51
LYPSAGEMS,.NS,Lypsa Gems & Jewellery Limited,Listed,5.05
BANCOINDIA,.NS,Banco Products (I) Limited,Listed,710.65
BEPL,.NS,Bhansali Engineering Polymers Limited,Listed,89.71
BOMDYEING,.NS,Bombay Dyeing & Mfg Company Limited,Listed,131.38
GUFICBIO,.NS,Gufic Biosciences Limited,Listed,348.2
GULPOLY,.NS,Gulshan Polyols Limited,Listed,136.11
LIQUIDBEES,.NS,Goldman Sachs Liquid Exchange Traded Scheme,Listed,1000.0
PIONEEREMB,.NS,Pioneer Embroideries Limited,Listed,29.03
INDUSFILA,.NS,Indus Fila Limited,Listed,2.35
BHARTIARTL,.NS,Bharti Airtel Limited,Listed,2083.4
BLUESTARCO,.NS,Blue Star Limited,Listed,1796.7
GOKUL,.NS,Gokul Refoils and Solvent Limited,Listed,40.8
GPIL,.NS,Godawari Power And Ispat limited,Listed,238.61
GREENPLY,.NS,Greenply Industries Limited,Listed,275.3
MAHASTEEL,.NS,Mahamaya Steel Industries Limited,Listed,822.4
ALKALI,.NS,Alkali Metals Limited,Listed,81.85
ANSALAPI,.NS,Ansal Properties & Infrastructure Limited,Listed,3.46
ASHIMASYN,.NS,Ashima Limited,Listed,18.34
AXISGOLD,.NS,Axis Mutual Fund - Axis Gold ETF,Listed,110.78
BIRLAMONEY,.NS,Aditya Birla Money Limited,Listed,148.43
BSLNIFTY,.NS,Birla Sun Life Mutual Fund - Birla Sun Life Nifty ETF - Growth,Listed,30.31
INDHOTEL,.NS,The Indian Hotels Company Limited,Listed,735.05
INDIACEM,.NS,The India Cements Limited,Listed,414.15
JAYNECOIND,.NS,Jayaswal Neco Industries Limited,Listed,72.75
LALPATHLAB,.NS,Dr. Lal Path Labs Ltd.,Listed,2874.5
MANALIPETC,.NS,Manali Petrochemicals Limited,Listed,61.08
NLCINDIA,.NS,NLC India Limited,Listed,243.9
PFOCUS,.NS,Prime Focus Limited,Listed,200.89
PONNIERODE,.NS,Ponni Sugars (Erode) Limited,Listed,282.75
REPCOHOME,.NS,Repco Home Finance Limited,Listed,401.45
SARDAEN,.NS,Sarda Energy & Minerals Limited,Listed,511.4
SHYAMTEL,.NS,Shyam Telecom Limited,Listed,12.84
VSTTILLERS,.NS,V.S.T Tillers Tractors Limited,Listed,5760.0
VIJIFIN,.NS,Viji Finance Limited,Listed,2.52
GPTINFRA,.NS,GPT Infraprojects Limited,Listed,103.41
KAYA,.NS,Kaya Limited,Listed,355.8
MERCATOR,.NS,Mercator Limited,Listed,0.85
MORARJEE,.NS,Morarjee Textiles Limited,Listed,7.41
PGIL,.NS,Pearl Global Industries Limited,Listed,1590.1
PRECOT,.NS,Precot Meridian Limited,Listed,440.2
VARDHACRLC,.NS,Vardhman Acrylics Limited,Listed,37.01
AIAENG,.NS,AIA Engineering Limited,Listed,3749.8
ALPSINDUS,.NS,Alps Industries Limited,Listed,2.87
BALPHARMA,.NS,Bal Pharma Limited,Listed,73.55
BFINVEST,.NS,BF Investment Limited,Listed,410.1
BHARATRAS,.NS,Bharat Rasayan Limited,Listed,2657.0
DHAMPURSUG,.NS,Dhampur Sugar Mills Limited,Listed,131.01
DICIND,.NS,DIC India Limited,Listed,488.55
GANDHITUBE,.NS,Gandhi Special Tubes Limited,Listed,749.9
GUJAPOLLO,.NS,Gujarat Apollo Industries Limited,Listed,439.3
HAVELLS,.NS,Havells India Limited,Listed,1409.6
SADBHAV,.NS,Sadbhav Engineering Limited,Listed,9.97
SBIN,.NS,State Bank of India,Listed,963.15
SETFNIFBK,.NS,SBI-ETF Nifty Bank,Listed,607.89
BALKRISHNA,.NS,Balkrishna Paper Mills Limited,Listed,20.37
BANARISUG,.NS,Bannari Amman Sugars Limited,Listed,3638.1
BGRENERGY,.NS,BGR Energy Systems Limited,Listed,343.5
BLKASHYAP,.NS,B. L. Kashyap and Sons Limited,Listed,50.66
CINEVISTA,.NS,Cinevista Limited,Listed,14.75
DCBBANK,.NS,DCB BANK LIMITED,Listed,171.29
DPSCLTD,.NS,DPSC Limited,Listed,10.24
DUCON,.NS,Ducon Infratechnologies Limited,Listed,3.57
GSFC,.NS,Gujarat State Fertilizers & Chemicals Limited,Listed,172.18
HCLTECH,.NS,HCL Technologies Limited,Listed,1673.2
HITECHGEAR,.NS,The Hi-Tech Gears Limited,Listed,690.0
KAJARIACER,.NS,Kajaria Ceramics Limited,Listed,1053.0
KSCL,.NS,Kaveri Seed Company Limited,Listed,967.9
MUTHOOTFIN,.NS,Muthoot Finance Limited,Listed,3837.6
LT,.NS,Larsen & Toubro Limited,Listed,4074.1
MARUTI,.NS,Maruti Suzuki India Limited,Listed,16522.0
PCJEWELLER,.NS,PC Jeweller Limited,Listed,10.6
PREMIERPOL,.NS,Premier Polyfilm Limited,Listed,42.67
RTNPOWER,.NS,RattanIndia Power Limited,Listed,9.62
RAMKY,.NS,Ramky Infrastructure Limited,Listed,550.65
REFEX,.NS,Refex Industries Limited,Listed,254.9
RPGLIFE,.NS,RPG Life Sciences Limited,Listed,2316.4
SAMBHAAV,.NS,Sambhaav Media Limited,Listed,9.97
SESHAPAPER,.NS,Seshasayee Paper and Boards Limited,Listed,241.64
SHEMAROO,.NS,Shemaroo Entertainment Limited,Listed,108.92
BAGFILMS,.NS,B.A.G Films and Media Limited,Listed,6.47
BANKINDIA,.NS,Bank of India,Listed,141.12
BANG,.NS,Bang Overseas Limited,Listed,48.77
BHEL,.NS,Bharat Heavy Electricals Limited,Listed,285.15
BIGBLOC,.NS,Bigbloc Construction Limited,Listed,66.37
CENTENKA,.NS,Century Enka Limited,Listed,449.55
CUPID,.NS,Cupid Limited,Listed,394.0
DIGJAMLTD,.NS,Digjam Limited,Listed,48.62
DATAMATICS,.NS,Datamatics Global Services Limited,Listed,826.4
ESSARSHPNG,.NS,Essar Shipping Limited,Listed,28.2
EVEREADY,.NS,Eveready Industries India Limited,Listed,324.75
FLEXITUFF,.NS,Flexituff International Limited,Listed,14.86
GILLANDERS,.NS,Gillanders Arbuthnot & Company Limited,Listed,106.66
GRINDWELL,.NS,Grindwell Norton Limited,Listed,1582.0
HILTON,.NS,Hilton Metal Forging Limited,Listed,40.83
GODREJCP,.NS,Godrej Consumer Products Limited,Listed,1153.8
HINDUNILVR,.NS,Hindustan Unilever Limited,Listed,2260.6
IMFA,.NS,Indian Metals & Ferro Alloys Limited,Listed,1392.1
IDBI,.NS,IDBI Bank Limited,Listed,99.78
IGARASHI,.NS,Igarashi Motors India Limited,Listed,430.65
INTELLECT,.NS,Intellect Design Arena Limited,Listed,1030.0
JBFIND,.NS,JBF Industries Limited,Listed,4.3
JISLDVREQS,.NS,Jain Irrigation Systems Limited,Listed,26.84
JPPOWER,.NS,Jaiprakash Power Ventures Limited,Listed,18.25
LICNETFGSC,.NS,LIC NOMURA MF - LIC NOMURA MF G-sec LT ETF - GO,Listed,28.65
MAHSEAMLES,.NS,Maharashtra Seamless Limited,Listed,559.65
MARICO,.NS,Marico Limited,Listed,727.05
MBECL,.NS,Mcnally Bharat Engineering Company Limited,Listed,65.4
MAWANASUG,.NS,Mawana Sugars Limited,Listed,83.98
MMFL,.NS,MM Forgings Limited,Listed,359.4
MOLDTECH,.NS,Mold-Tek Technologies Limited,Listed,160.21
ORIENTLTD,.NS,Orient Press Limited,Listed,77.37
PARSVNATH,.NS,Parsvnath Developers Limited,Listed,12.62
RAMCOCEM,.NS,The Ramco Cements Limited,Listed,1055.0
SHK,.NS,S H Kelkar and Company Limited,Listed,166.88
SKIPPER,.NS,Skipper Limited,Listed,437.8
SYNGENE,.NS,Syngene International Limited,Listed,647.0
TATAPOWER,.NS,Tata Power Company Limited,Listed,381.95
TDPOWERSYS,.NS,TD Power Systems Limited,Listed,687.1
TBZ,.NS,Tribhovandas Bhimji Zaveri Limited,Listed,164.35
TFCILTD,.NS,Tourism Finance Corporation of India Limited,Listed,66.45
USHAMART,.NS,Usha Martin Limited,Listed,440.6
APLAPOLLO,.NS,APL Apollo Tubes Limited,Listed,1737.9
ARROWGREEN,.NS,Arrow Greentech Limited,Listed,520.75
CCHHL,.NS,Country Club Hospitality & Holidays Limited,Listed,15.57
IOLCP,.NS,IOL Chemicals and Pharmaceuticals Limited,Listed,83.08
IVP,.NS,IVP Limited,Listed,147.5
KSK,.NS,KSK Energy Ventures Limited,Listed,0.55
LIBERTSHOE,.NS,Liberty Shoes Limited,Listed,279.85
KHANDSE,.NS,Khandwala Securities Limited,Listed,21.87
SETFGOLD,.NS,SBI-ETF Gold,Listed,112.96
AIL,.NS,Alstom India Limited,Listed,41.0
ASIANPAINT,.NS,Asian Paints Limited,Listed,2764.8
BALMLAWRIE,.NS,Balmer Lawrie & Company Limited,Listed,177.81
EICHERMOT,.NS,Eicher Motors Limited,Listed,7229.0
EMAMILTD,.NS,Emami Limited,Listed,539.55
GODREJPROP,.NS,Godrej Properties Limited,Listed,2075.1
GPPL,.NS,Gujarat Pipavav Port Limited,Listed,188.3
GRPLTD,.NS,GRP Limited,Listed,1784.5
INFIBEAM,.NS,Infibeam Incorporation Limited,Listed,17.04
RUBYMILLS,.NS,The Ruby Mills Limited,Listed,217.57
THOMASCOOK,.NS,Thomas Cook (India) Limited,Listed,139.19
ZUARI,.NS,Zuari Agro Chemicals Limited,Listed,293.65
CENTURYPLY,.NS,Century Plyboards (India) Limited,Listed,844.0
TATAELXSI,.NS,Tata Elxsi Limited,Listed,5030.5
TVSMOTOR,.NS,TVS Motor Company Limited,Listed,3655.2
APOLSINHOT,.NS,Apollo Sindoori Hotels Limited,Listed,1192.6
APLLTD,.NS,Alembic Pharmaceuticals Limited,Listed,876.9
AHLEAST,.NS,Asian Hotels (East) Limited,Listed,133.89
AKZOINDIA,.NS,Akzo Nobel India Limited,Listed,3601.2
AJANTPHARM,.NS,Ajanta Pharma Limited,Listed,2659.8
ALEMBICLTD,.NS,Alembic Limited,Listed,102.1
ALMONDZ,.NS,Almondz Global Securities Limited,Listed,15.76
AMBIKCO,.NS,Ambika Cotton Mills Limited,Listed,1274.6
AROGRANITE,.NS,Aro Granite Industries Limited,Listed,29.89
ARSSINFRA,.NS,ARSS Infrastructure Projects Limited,Listed,54.27
ANANTRAJ,.NS,Anant Raj Limited,Listed,550.45
ANDHRSUGAR,.NS,The Andhra Sugars Limited,Listed,77.08
BATAINDIA,.NS,Bata India Limited,Listed,960.25
AXISCADES,.NS,AXISCADES Engineering Technologies Limited,Listed,1297.9
BAJAJFINSV,.NS,Bajaj Finserv Limited,Listed,2083.1
BEL,.NS,Bharat Electronics Limited,Listed,389.45
BALRAMCHIN,.NS,Balrampur Chini Mills Limited,Listed,438.6
BAYERCROP,.NS,Bayer Cropscience Limited,Listed,4408.8
BLUEBLENDS,.NS,Blue Blends (I) Limited,Listed,0.8
CANDC,.NS,C & C Constructions Limited,Listed,2.35
CESC,.NS,CESC Limited,Listed,170.07
CROMPTON,.NS,Crompton Greaves Consumer Electricals Limited,Listed,254.1
CIPLA,.NS,Cipla Limited,Listed,1517.4
COALINDIA,.NS,Coal India Limited,Listed,383.35
DBL,.NS,Dilip Buildcon Limited,Listed,445.35
CRISIL,.NS,CRISIL Limited,Listed,4498.6
CUMMINSIND,.NS,Cummins India Limited,Listed,4600.2
CYBERTECH,.NS,Cybertech Systems And Software Limited,Listed,148.55
EKC,.NS,Everest Kanto Cylinder Limited,Listed,118.97
